cond,SID,text,article_number
social,s303,This june has the heat wave nudged the planet,91
self,s305,If I knew someone with an eating disorder I would want to know how I could help them,96
social,s307,I did not know about this,1
self,s308,It matters to me because I want to be health and weight conscious.,54
self,s311,This is about mining coal and burning it. Three countries in particular are mining and using coal because it benefits a particular billionaire while it harms people and the environment.,43
self,s313,I think it is good to keep environmental zealotry limited and reduced.,89
self,s314,The relaxation of fuel efficiency rules for automobiles made by the Trump administration has been traced to industry groups who have a vested interest in seeing more fuel consumption.,29
social,s316,This article is confusing on its intent.  I believe it is about climate change perspectives of automakers.,71
self,s318,"After one died during an attempted capture, scientists decided not to try and capture either of the other two remaining vaquita porpoises.",101
self,s319,This article is about canadian zoologist,77
self,s320,The people should known this fails,41
self,s321,I have my children studying these program,86
social,s322,This article is about the potential negatives of using either plastic or paper bags at the grocery store and compares the two options.,57
self,s324,They put climate change issues on the election ballots.,75
social,s326,The climate change is the main part of natural disaster which we cannot stop. This article is about Hurricane Dorian and the other storms cause more damage to the nation so some Billions in recovery Funds were not spent for the disaster,13
social,s327,about the environment impact by coal consuming,43
social,s328,This article is about how doing more fitness activities can help people live longer lives,56
social,s329,This article is about a federal judge throwing out an Exxon Mobil lawsuit against attorneys general in New York.,3
self,s330,"The fossil fuel industry just can't seem to make enough money, and they couldn't care less what happens to our planet as they do it. Really sad.",29
self,s331,Wastages should be recycled and should not pollute the water.,79
social,s335,there is a dubious information going on about polar bears been circulated by Canadia zoolist blog,77
self,s337,Chef Tom Colicchio suggests only buying produce you will use today when shopping at a farmer's market. This can help reduce food waste.,20
social,s338,"On Friday, young adults and children skipped school to protest for climate change.",109
social,s344,We should pay attention to our environment and know when to do the needful. Cut your invasive grasses while you can.,63
self,s345,There is CBD all over and I would like to know if I should go ahead and try it or if I should wait for more research.,88
social,s348,It's about time we took climate change seriously,95
social,s349,My dad doesn't like working out but maybe a heart monitor would make it more fun.,58
social,s352,The article matters to people I know because the article talks about the effect of plastic bags or paper,57
social,s353,This article is about trust and unavoidable.,76
self,s358,Science made a big impact in scientists life,5
self,s360,"Algal is not serious problem in Florida in the past, but now it could be major problem and causes the problems for the coast. Also it made some problems in the future too.",39
social,s361,"My step-father had colorectal cancer and he eats a lot of deli meats, so this article would matter to myself and to my immediate loved ones.",28
social,s363,"It matters to people I know, because they need to find new solutions to their exercise/diet problem.
Article is about new weight loss strategy involving skipping meal before morning work out.",0
social,s364,A condition called sleep apnea can effect your sleeping habits.,106
self,s368,The information on the danger of climate change is very important to me.,7
self,s371,"This article reports on recent meetings of climate scientists, as well as suggestions to reduce food waste during the holiday season.",11
social,s372,All kinds of people can weight train successfully if you do an intense workout for 13 minutes which isn't too long if you count the time in a day.,48
self,s373,A skier wants to save the snow of the world.,5
self,s375,"Elderly persons tend to live on a Fixed Income and try to make their dollars stretch through frugality. Going from ""Riches to Rags"" sets a familiar and compelling backdrop to the story in the article. It will also contrast the Healthy Diet she had in Korea vs the Unhealthy Diet from Fast Food.",70
social,s380,We can all benefit for direct action to persuade policy makers to take climate change more seriously.,27
social,s386,it is important to an animal lover because no one wants to see a mammal die,101
self,s387,parents are force feeding their children,92
social,s390,under found side effect from dietary supplement,10
self,s394,very close to me the changes and more interesting,11
social,s395,because this covers heritage sites threatened by climate change.,85
social,s396,Climate change record heat wreaked havoc,97
social,s399,Polar bears are a favorite of my children and we want to see them thriving.,77
social,s400,About list of heritage sites that can be affected by climate change.,85
self,s401,As a animal lover its is very personal that wildlife is getting affected by toxic tide and to make necessary action to prevent the wildlife,39
self,s402,Our future also depends on our surroundings,36
social,s403,AI technology has breakthroughs with breast cancer research,104
social,s406,The article talks about how to stop your habit of using single-use items and how to get into more environmentally friendly habits.,55
self,s411,global warming is big issue in our country it is create a pollution and effects in our economy lose percent of  coming years is very big issues and very important one,9
self,s412,getically modified organism tend we know the least .the scientist new study found,102
self,s414,I am a huge advocate against study and this helps confirm why I did that.,32
self,s415,"some good news, hav to keep in mind and pass it ovre",60
self,s418,It is about governments suing gas giants about Climate.,105
self,s419,I think we need to be moving away from fossil fuels and this sounds like a good article explaining that,93
social,s420,"Avoid stone-farming foods like chocolate, spinach, tea, etc.., to prevent from kidney stone forming",46
self,s421,"The argument is made that dance is actually the best form of exercise for brain health, even better than walking or stretching.",14
self,s422,There are more affordable and more effective methods for cleaning than single use products.,47
social,s423,Climate change will decrease the GDP of the US.,9
self,s425,Adverse effects from dietary supplements could impact my health and the health of my loved ones.,10
self,s432,This article is about a growing swath of trash that is floating in the ocean between California and Hawaii.  This mass of trash is predicted to be 16 times larger than originally thought.,79
self,s434,"Australia in a victory for coal , clears the way for a disputed mine.",21
social,s435,A new use for bacteria derivated supplements related to address the obesity issue.,74
social,s436,A new study suggest very relevant to the California.,79
self,s437,most of adults became obesity causes so take our routine life take excersise,106
self,s439,"This matters to me, because overweight adults will read this, and think they don't need to lose weight. Proven, or not, obesity can cause a person harm in many different areas, including a healthy life.",108
social,s442,recycling process must be followed to reduce the pollution. It must be followed by all the peoples who were in the us. It is beneficial process.,49
self,s444,This article matters to me because it helps me to know the importance of flavonoids in plants.,22
self,s445,in childhood days good and precious day for us,12
self,s446,Ways to benefit from intense exercise.,56
social,s448,"The article talks about what people can do to help improve the earth, in the coming year. It also discusses a government shutdown and presents a Democratic plan to help address climate change.",31
self,s449,This article describes the claims of a snake oil.,88
self,s450,"I actually live close to flood-prone areas so this affects my neighborhood, so to speak.",23
social,s453,this is very useful things to avoid plastics,55
social,s454,Wildfires are caused by global warming.,7
self,s456,Effect of climate change in polar bears life,77
self,s457,I have a dog myself and we let him sleep in the bed. I think it's good to know that it is helping both mine and my dog's sleep patterns.,38
social,s460,This article is about the many dangers of sugar and sugary drinks.,4
social,s462,"Sleep apnea consequences, and the main cause behind it.",106
social,s463,this will raise awareness about climate change,59
social,s466,There is a bill that is passing to have federal funds for conservation,19
social,s467,We are more addicted to fast food. Fast food not help to reduce weight.,78
social,s470,because we use coal as an energy source.,43
self,s471,This is about babies eating solid foods when they reach 3 months old and how that may help them to sleep longer at night.,44
social,s473,vitamin d is great in pregnancy for the baby growth,60
self,s475,"Sanator shumer has a plan to give people vouchers for electric cars
",73
self,s478,This article is about the risk of Parkinson's disease which is increased by the abdominal obesity and other issues like high blood pressure and diabetes.,82
social,s479,new races that are designed to guarantee you wont set a new record are on the up and coming for runners,62
self,s481,Government aid has not helped Americans hit by storms,13
self,s482,"Large glacier collapses (larger than previously expected) are starting to happen more frequently due to climate change, and it's likely this will continue in the future.",45
self,s483,Climate change has us on track toward multiple disaster movie -level crises in the not-too-distant future,99
social,s485,Finding alternative disposable cleaning products could help people I know.,47
self,s487,It understands me better,55
social,s488,because climate change is real and we need this planet to live . this is a topic that matters to everyone,27
self,s490,This article is about how cooking can effect levels of nutrients,42
social,s492,"After years of working on it, a new land conservation bill has finally been passed.  It designates millions of acres for environmental protection and sets up a federal program to help pay for conservation.",19
self,s493,It’s people who are trying to lose weight but not the healthy way. Using pills and dangerously risking their life’s,10
social,s494,This article about relevant to people...worried about the message,91
social,s495,Exxon's attempt to block an investigation was cut down by a NY federal judge,3
self,s496,the best advice to known for,20
social,s497,I think this article matters to people I know because it could bring some hope as some are trying to lose weight and be healthy.,72
social,s498,"Within the next five years, climate change could have severe economic impacts on major corporations.  They're estimating almost a trillion dollars in risks.  So much for that 401k.",87
self,s499,seeds and gout  had been eating more years ago it is good for health,26
social,s502,It matters to people I know because the article provides weight loss tips and strategies that can come in handy. I know many people who struggle with weight loss and this article could really help them.,0
self,s504,"This article is about how environmentalists and nuclear power is trying to come together, however they are facing issues that complicate the situation. It also talks about how people can reduce their own carbon footprints.",51
social,s505,This article creates awareness about climate change issues.,41
social,s506,My partner has sleep apnea and we talk about it every now and then because I am worried about this a great deal. This matters because it could be life or death for him if he doesn't lose weight.,106
self,s507,about how there is more than just caloric input and output when it comes to weight loss,78
self,s512,Predicting the affects of climate change,59
social,s513,I know plenty of people who care about polar bears and our climate in general and we need to verify the accuracy of information being shared.,77
self,s514,"This concerns me as we are running out of time to reduce carbon emissions, this affects us all!",41
self,s515,Organic product are more helpful to the body than inorganic product.,64
social,s516,To people know the hearing loss impact on future,90
social,s517,It gives me more information,8
self,s520,This article matters by providing awareness of climate week and a call for action where appropriate.,83
self,s522,E.U. Leaders foiled in climate target attempt by developing Eastern countries who oppose.,41
self,s526,"Climate change should matter to everyone personally, it is very important.",35
self,s527,We are saving energy by staying home more for the most part,33
social,s529,It's unclear whether a gut bacteria that makes mice run faster would work on humans.,72
self,s530,REDUCE OWN CARBOB FOOTPRINT,51
social,s531,The un-natural partnership of nuclear power an environmentalists.,51
self,s532,I believe our wildlife are extremely important to our survival and i care about all the creatures.,39
social,s533,there may be no reason to go gluten free if you are not highly sensitive to gluten,66
self,s535,This article is about young people protesting inaction on environmental protection policies.,109
self,s537,"I truly relate to this one.  When my dogs are sleeping in the same room with me, I am at more comfort and sleep better.  With how the act,  I am sure they feel the same way.",38
self,s538,"Despite my best efforts, I suffer from obesity and high blood pressure and would be concerned for my future health.",82
social,s540,This article has to do with a bill that is saving acres of wilderness for the environment.,19
social,s541,This matters because people i know care about the climate and want to help the earth.,41
self,s543,I have a dog and am a current pet owner. Would be nice to know this research data.,38
self,s544,It is about the oil and gas giants,105
social,s545,"Farmers, like my family, are having problems with their crops due to increased temperatures.",91
social,s546,The options of plastic or paper and the downsides of each.,57
social,s547,This article is about a study that suggests people traveling less is saving on energy usage.,33
social,s548,Peoples are must know about the climate-related risks.,87
social,s551,i think the politicians needs to be more participative in the climate change,81
social,s552,The article is about when certain foods for vegans start to affect their stomach badly,26
social,s553,Your children need to learn better eating habits.  Here’s how.,2
social,s554,The food that we should avoid inorder to prvent from kidney stone.,46
self,s555,it is about climatic change,35
social,s558,Court blocks Exxon's attempt to stop the investigation into the company's role in climate change.,3
social,s559,because it is very crucials,95
self,s561,Australia is still producing coal.,21
social,s563,"There is new science that suggest adding intensity to your workout, pushing yourself to do more, creates benefit in the cells that translate to longer life.",56
social,s567,People I know are into fitness,58
self,s568,"Lifestyle makes a tremendous changes in all life of people, we have to take care of our health and should stay healthy.",84
social,s570,This article is about a court dismissing an exxon lawsuit.,3
social,s571,Cancer runs in my family and anything that helps reduce the risk is a positive in my book. Most of us don't have the best diet to begin with and so adding more plants that have flavonoids is likely going to be better for everyone.,22
self,s572,"This article raises my awareness on how eating more impacts our weight gain, regardless of exercising. It mentions how a few more bites throughout the day can result in weight gain and I suffer from this daily and it really strikes home for me. This topic is of personal importance to me and many around me.",78
social,s574,Disaster funds are very slow to reach the people who need them and the problem is not going away most likely because of climate change.,13
social,s575,"It is about Greta, a girl climate activist from Sweden, and hardships she has had.",65
self,s576,Climate change affects my life and it's good to see young people take a stand on it.,109
self,s577,"Products like perfume, deodorant ,pesticides and paint contribute as much as cars to pollution.",107
social,s578,"This article matters to me and people I know because I love exercising and many of my friends do as well, so it is good to know that exercise is able to keep our immune systems healthy and our bodies biologically younger.",18
social,s581,People make the good decision.,21
social,s582,"Maybe we can learn, as people, to do better things to help Climate Change based on what they did",37
self,s583,it`s a bad news we have a responsibility to take some action against climate change,35
self,s584,Sports that put too little pressure on your bones could be putting people at risk of health issues.,98
self,s587,Healthy eating ideas for kiddos,2
self,s588,This article is about saving money when getting fast food.,70
self,s589,it may have insight as to why I dont get sick as often as others I know,100
social,s592,Lab grown meat could be a good change but fear driven responses to change are often detrimental.,81
social,s593,People should avoid certain things like said above in the headlines to avoid climate change. We never encourage like those things.,75
social,s594,The article gives more information about the flood and its complications.,25
self,s595,Building of strength through simple light exercise,48
social,s598,This article matters to people I know  because climate change affects everyone.,87
social,s599,DON'T WASTE FOOD FOR EVER IN HOLIDAYS. REDUCING IS ONE OF THE BEST OPTION DON'T  TRY NEW METHODS,11
self,s600,I am health conscous,98
social,s602,It is about racing for fun instead of just setting records,62
social,s606,Because is killing florida wildlife.,39
self,s608,pertains to guidelines for optimal health,8
social,s610,Eating processed meat leads to colorectal cancer,28
social,s613,"This article does not matter to people I know, I do not know anyone from Australia.",21
self,s615,fitness help us to fight over diseases,34
self,s616,children's playing games and exercising is always good for health.,12
social,s618,"It's good to understand what makes a diet healthy, overall.",72
self,s619,I am very interested with this article so i felt very attached with this article.,105
self,s620,Additional World Heritage sites are being threatened by climate change.,85
self,s621,"My wife, and other women in my life, would benefit from this information.",52
self,s622,the article is quite educative and informative,48
social,s623,This is in order to point out the need for recycling and the mistake that humans make when recycling,69
self,s624,I like to move and I want to do all I can in order to keep my brain power.,14
social,s626,The article is about the girl who became climate activist.,65
social,s627,Climate change is drastically and devastatingly affecting our lives,15
self,s628,This article is about  how would we build strength.,48
self,s629,Mining is very useful for the economical growth of the nation.,21
self,s630,it is about snake oil thatswhy it becomes a matter,88
social,s631,"Not anything new, but it's nice to see a new study and some real before-and-after results.",94
social,s634,Reasons why people should eat more fish.,30
self,s635,I have been considering going vegan for almost a year now and this makes me think twice about it.,26
self,s636,"This would make me run harder, faster, longer to try to compete with others to see how well we can do.",62
self,s638,This Article is about the proteins that are available in green plants and that why Japanese took more  plant proteins and lived well.,64
social,s639,Many topics were covered at the SF ClimateTECH Conference which would be of interest to many people I know.,81
self,s640,I personally have the heat wave to affect the world...,91
self,s001,Climate change is making current wildfires all over the world even worse,7
self,s002,Banana rich in potassiums and good than anything,68
social,s003,Because its fighting the misinformation so prevelant in media these days.,77
social,s004,"Keeping active seems like it is good for everything, the mind, the body and feeling younger.",18
social,s005,The BOKS program for children and exercise before class might make children feel better and thrive more in school.,86
social,s008,It seems that CBD oil is not as beneficial as the claims say,88
self,s009,"The article covers an inspiring story on advocacy for climate change, which is important to me",65
social,s010,they can take the changes and apply them to their lives to improve their health,84
social,s012,Local governments are suing oil and gas companies.,105
self,s014,An athlete is working on environmental preservation and scientists won a prize for mapping peat.,5
social,s015,This is about how you can supplement food for babies early and reap the benefits at night for longer sleep times.,44
social,s017,Organisations are urged to be more sensitive about climate  in the climate week.,83
social,s018,"Solar power is being used more now, but it is still only a tiny portion of the total electricity used.",93
self,s019,This article debates if the sugary drinks ban could improve people at the medical center.,94
self,s020,Influential people talked about big data and man made meat in San Francisco.,81
self,s021,This article matters to me because I want to know how to avoid getting kidney stones.,46
social,s024,This talks about coal mining restrictions in Australia.,21
social,s025,"This article discusses how specific consumer products, such as paint, deodorant and perfume can impact clean air quality in cities.",107
social,s028,It is about SUV  car sale,103
self,s030,"Maintaining diet , avoid smoking will help to stabilize the  sixe of atherosclerotic plaque and also reduce the chance of heart attack",84
social,s031,Good food and sleep quality ib babies.,44
self,s032,This article is important to me because it illustrates the political struggle in Australia for coal mining legislation.,21
self,s036,Global warming projections,91
social,s037,about the prevention of heart disease.,84
social,s038,"The use of plastics and its many uses, have left a legacy of litter since they don't bio degrade and nature can't use it.",67
self,s040,It is personally mattered as am a sportsperson,68
social,s041,This article matters so people that I know can prepare for their future just in case the area where they're living now will be covered with water in 20 years.,59
social,s042,it is Negotiations have failed even though scientific understanding of climate change and the risks it poses have never been their first week on campus. important issues that they often never think about because they are too busy.,11
self,s043,Government waste occurs even in times of disaster.  Liberals still want to blame climate change for their failures.,13
social,s045,grandchild goes to mcdonalds with grandmother,70
self,s046,the silicon valley starts up to change the land will be in the undewater,59
self,s048,Benefits of cooking certain veggies may be enhanced when cooked and something decreased.,42
social,s049,People I know might love someone with a hearing problem.,90
self,s051,The article will discuss various issues involving climate change which is important for all of us.,71
self,s052,This article is important to me personally because I want to stay healthy.,4
social,s053,Shows how the link between parenting affects a child's weight.,92
self,s054,We should encourage green power. Produced with little-to-no environmental impact. Everybody should grow plants. Green energy electricity plans and save is very important.,83
social,s055,Climate change ultimately has or will effect everyone.,97
self,s056,It will help me explain to my anti-GMO friend how ignorant they likely are about GMOs,102
self,s057,"Why are Americans staying home and using less energy? I think this is in part due to the pandemic and many of us are under mandatory orders to stay home. Also, many countries have closed their border and this prohibits travel. I think if the country ever opens again, we will see people on the go once more.",33
self,s058,Eating flavonoids is good for your health.,22
social,s062,"With climate change currently happening and our country doing nothing to curb it and living in an earthquake state, people I know should read this article to keep themselves and their assets safe. Knowing the risk of not being insured and what the costs can be may help people make decisions that may better keep them safe and secure.",53
self,s063,"Apparently it's possible for vegan diets to be bad for you, which is something I didn't know in this particular way before.",26
self,s064,Florida's wildlife is being killed by algal blooms,39
social,s065,This article matters to people I know because they're concerned about the effects of climate change.,77
social,s066,This is why we should not have a lot of sweets in our diet.,4
self,s067,"Skin infections decrease among people who are taking ""statins"" (whatever those are).",80
social,s068,Things you can do to lower arterial plaque.,84
self,s069,I want to help decrease climate change and air pollution in easy ways.,107
self,s070,This seems like it would be an article and photos for the history books.,109
social,s072,"Low-IQ Americans are still building homes in flood zones, completely ignoring the data showing their home will just be destroyed again",23
social,s073,This article is about how to weight train in a quick way.,48
social,s074,Critically endangered Vaquita Porpoises and the effort to save them,101
social,s075,four continents affected by havoc.,97
self,s076,Its about a wildfire in california,17
social,s078,"Car companies are changing their perspectives on climate change, an oceanographer is probably going to be discussing ocean climate problems and then there will be talk about some weather.",71
social,s079,more information on G.M.O,102
self,s080,You can build strength with a short workout if you work hard at them.,48
social,s081,not having to slow down as you age,76
self,s082,This matters to me personally because I've always been interested in China-America relations. That the article also mentions recycling is an added bonus to me.,49
social,s083,Climate change will start affecting companies' profits in the next 5 years.,87
self,s084,top people getting together to discuss climate changes,11
social,s085,Oil companies are trying to change emission rules to suit their own interests.,29
self,s086,I want to live a long healthy life.,16
self,s089,"I have family members who are children, and I want to keep children safe and healthy.",12
social,s090,People who dislike flavonoid rich foods have a lower risk of cancer and cardiovascular death.,22
social,s092,Parkinson's disease has a positive relationship with heart risks.,82
self,s093,Some liberal faggots brainwashed students to believe moron liberal shit.  Death to all libs,109
self,s095,Evidence that climate change is happening and more encouragement that we need to do something about it,45
social,s097,Climate deniers always promote dubious claims to try and back up their false information,77
social,s099,This could be the answer to the problems all of you in florida are gonna face,59
social,s100,This article is about if deli meats are bad for you or not.,28
self,s101,"Resilience matters when I'm trying to reach my goals. Being flexible, however, is still important.",37
social,s103,Article is about climate change. Bigger faster avalanches happening before they thought. Predicting just the beginning.,45
self,s104,This article matters to me because I think that addressing climate change is an issue that is important to put in campaign statements.,95
self,s106,This article matters to me because I have a bag choice to make every week I go to the grocery store.,57
social,s108,Because more healthy people means less is spent on healthcare.,12
social,s110,Oil industry is very important to world for growth....,29
self,s111,I monitor my fitness levels and would like to know more about it.,58
self,s112,Too little pressure from low-impact sports could be harming people's bones.,98
self,s113,It matters to me because this leaders control a large part of our lives so it matters to know whats going on with them and what are their plans.,81
social,s114,This is important because we all drink too much soda. And it is making a negative impact on our health.,94
social,s115,"Many of my friends and family have heart and cholesterol issues, this article could help with that.",50
social,s116,Walking in pace with others depends on the people. Some are fast and slow.,36
social,s117,recycling is the best thing to environment,69
self,s118,"The indirect effects of global warming may not have been very apparent before, but it's rearing its ugly head now. Expect storms and wilder storms.",15
self,s119,A completely unsurprising study finds eating healthy foods helps with weight loss.,8
social,s120,Drilling may cause damage of artic wildlife,61
self,s121,People eat more than they exercise thus gain weight.,78
social,s122,because we need to rely less on fossil fuels,93
social,s123,This article is relevant to people I know because most of their kids eat terrible food constantly.,2
self,s124,This articles to me because I want to make sure I am recycling correctly.,69
social,s125,A brief 13 minute exercise for strength building.,48
social,s126,homes are build fast in the regions where many flood prone areas fastly  which has been show in new data,23
self,s127,Wind turbine is most helpful to the climate,1
self,s130,This article is about nutrient levels in certain foods after cooking.,42
self,s132,It might take more than exercise to lose weight,6
social,s133,We just don't understand how serious the consequences of climate change will be.,99
social,s134,The last part of the article about reducing your carbon footprint would be relevant to the people I know so they can do their part to lessen climate change.,51
social,s136,This article matters to people I know because preservation of wilderness land is important environmental protection for this generation and for those to come.,19
social,s137,"Global warming is becoming a more realistic threat to  ancient places that need to be preserve, seems there is little that can be done, if we dont work collectively to fight global warming and the need to save these heritage sites.",85
social,s139,It is important to know that hearing loss could lead to a greater risk of injuries.,90
social,s140,How removing sugar from the diet can improve your health,94
self,s141,Weight loss suplements,10
self,s143,In 13 minutes we can build weight training.,48
self,s145,I'm someone who would like to see a greater switch to renewable and carbon-neutral energy sources.,93
self,s146,This article is following the progress on scientific understanding of obesity.,108
self,s147,"It matters to me because it is important for myself and the rest of us to maintain a healthy body, in order to live a fit and fulfilling life.",18
self,s149,Carbon Senator Chick Schumer get vouchers.,73
social,s150,It's about the important outcomes of a tech conference in San Francisco.,81
self,s151,All exercise stimulates the brain. It's the best therapy in the world,14
social,s153,Protein from plants may be better for your  health as shown in Japanese people.,64
self,s155,This is important to me because I want to live a long healthy life.,64
social,s156,Because the people I know would want to do all they can for their baby's health and they would want to pass the message on to their family members that are pregnant even if they are not themselves.,60
self,s157,exercise can keep aging muscles and immune systems.,18
social,s159,PUBLIC COMMENTS MATTER IN FEDERAL RULE MAKING,29
self,s160,this article is about how the country leader fail to help improve climate change,41
self,s161,ARTICLE ABOUT THE CHILDREN'S FOOD HABITS AND HOW TO BREAK OUT OF CHILDREN'S MENU TRAPS THIS MATTERS ME PERSONALLY BECAUSE OF MY CHILD ALSO HAVEING THIS PROBLEM,2
social,s163,Regulators have cleared the way for work to begin in a disputed mine in Australia.,21
social,s166,"The article matters to people I know because even though they are exercising, they aren't losing weight. This article can help explain why and show them what they are doing to cause it.",78
self,s167,"Obesity, high triglycerides, high blood pressure, and diabetes may increase the risk of developing Parkinson's disease.",82
self,s168,"This article is about using AI to predict, treat, and prevent cancer.",104
social,s170,this is about invasive grasses may worsen wildfires,63
self,s172,The benefits of fish in the diet of kids and pregnant women.,30
social,s177,Some people I know are vegetarian or vegan so it may be relevant to them and their health or diet,26
self,s178,"I don't know why anybody's still arguing about whether climate change is real or not.  By the time some people figure out that it is real, it may be too late and that's bad news for all of us.",87
self,s184,People need to be informed accurately so that they will be encouraged to take action.,95
social,s185,This article matters to the people I know because this affects climate change.  Everyone I know is concerned about climate change.,43
self,s186,"Nuclear power has historically been opposed by many environmentalist organisations, some support it, as do some scientists.I think we use it in right way.",51
self,s187,"Finding that a gut bacteria makes mice run faster is interesting to me and I would be curious to learn if this same effect is found in humans. It matters to me, because it is fascinating to learn new things about the body.",72
social,s189,Plants high in flavenoids might help prevent certain diseases.,22
social,s191,useful for automakers,71
self,s192,This matters to me personally because I am female and I eat some processed meats.,52
self,s193,For climate change the people can give more importance and had a demand for it,109
self,s194,I care about energy conservation so the fact that ti is happening is good.,33
self,s195,"I don't like cooking tomatoes, but I like spinach so it might matter somewhat.",42
self,s196,It matters to me cause it teaches me how to treat myself and my dog better.,38
social,s197,"Aspiring young girl , I definitely share this to my family and friends",65
self,s198,This article is very very useful to my society and peoples.,89
self,s200,Because recycling affects the environment .,49
social,s201,Dreaming about the days when lab grown meat is affordable for the average consumer and factory farming is a thing of the past!,81
self,s202,Nuclear power is the biggest power in the world,51
social,s204,I know some environmentalists who would be pleased to hear this news.,19
social,s205,This is interesting...who even considered that exercising makes us want to eat more?!,78
social,s206,Green Energy provider is the must useful for current situation.,83
self,s207,Author creates a new guide for children to eat healthier.,2
self,s208,reduce the uses of plastic,55
social,s210,Saving money on fast food.,70
self,s211,This article is relevant to me because it shows that people are always seeking out changes to routines and looking for something that challenges them. I too grow weary of too much routine.,62
self,s212,Cleaner air using less deodarant,107
social,s214,do we want coal to be used for several more decades?,43
social,s215,This outlines a pretty easy way to drop some pounds!,94
social,s216,It is about how being in good shape is good for you.,16
self,s217,"Things like perfumes, pesticides and pant can be as bad as cars as far as pollution.",107
social,s218,It was about the climate changes,59
self,s219,It is about weight loss being attributed to diet quality rather than quantity.,8
social,s222,"In most restaurants in America, the children’s menu is where you’ll find the least nutritious foods: Chicken nuggets, grilled cheese, pizza and French fries are the standard “kid friendly” offerings",2
self,s223,This article is about how different government and related parties and working together to revise the Endangered Species Act.,89
self,s224,The government is screwing me again by carrying the water for big corporations.,89
social,s227,"protesting climate change, young people take to streets in a global strike",27
self,s230,"Have a New Years resolution and consume less than you need. The Democrats are also addressing climate change and the government shutdown. I try to consume less. If I don't need as much veggies, I will buy less so it doesn't spoil. As for climate change and the shutdown, they will resolve themselves through our representatives we send to Congress. I vote for my Representatives and they do the work.",31
self,s234,Perhaps this will help people pay attention to the dangers of climate change.,85
social,s235,"Performance subject to minerals is new Takes the essential oil wheels
",88
social,s236,"This article is about how exercise positively impacts the body, particularly, the muscles and immune system.",18
self,s237,CHALLENGING RACE WAS INCREASING,62
self,s242,It can help to shed light on whether this issue can be fixed with assistance from your partner.,96
self,s243,"Risk, no benefits to going gluten free",66
social,s246,This article is about your immune system and lifestyle and how those affect you're likelihood to get flus and colds.,100
self,s248,This article claims impacts of global warming  in rain and flood. Because some people believe global warming causes  heavy rain and cyclones,15
social,s249,You need to check your hearing to be safe,90
self,s250,This article matters to me personally because my close friend who is died due to this diet.,66
social,s251,This article is about the key to weight loss being diet quality not quantity people who cut back on certain foods lost weight without worrying about portion size.,8
social,s255,Demonstrating a correlation between eating highly processed meats and developing breast cancer.,52
social,s257,article is about babies who eat solid food at 3 months may lead to sounder sleep,44
self,s258,Important of exercise for children's.,12
social,s259,This article explains the heat wave and its month and the government actions,91
self,s260,Understanding if paper is better than plastic will help in making decisions about helping the environment.,57
social,s261,"My wife gets kidney stones, so this is useful for her",46
self,s262,What an awesome idea that every company should follow.,55
social,s265,"Healthful meal options and ideas for our children minus chicken fingers, fries, hamburgers and the like.",2
self,s268,That I know that using fruits and vitamins will not help my soreness after a work out,40
social,s270,People should know the bad effects of gaining weights. so everyone should do exercise well,54
self,s273,how eating sugar can cause you to have diabetes,4
social,s274,This article about the break out of the children's menu trap,2
social,s275,I know a lot of my friends live in areas proned to flooding.,53
self,s276,It was about the global warming was gives a dangerous rains and floods.,15
self,s277,poor hearing affects our lifer,90
self,s278,I recommend this article if you are curious about the positives and negatives of plastic and paper bags. It goes in depth about the two options and may help you decide between them.,57
social,s279,This article is about the Toxic Tide.,39
self,s280,Its about getting rid of single use plastic and replacing it with reusable stuff.,55
self,s281,Negative changes to the environment and the economy could have a negative effect on my overall quality of life going forward.,9
social,s283,a conservative coalition that champions coal won an Australian election,21
self,s287,The article is about having a better nights sleep when sleeping with their dog in the bedroom.,38
self,s288,Chef Colicchio recommends just-in-time daily produce shopping from Farmer's Markets.,20
social,s292,Our digestive system and weight management might be helped by taking a pill made from bacteria in the gut.,74
social,s294,Gut bacterium could cure metabolic disorders especially people with obesity,74
social,s295,About the rise of sleep apnea,106
self,s297,Eating foods with high flavonoid content helps people lower their risk for cancer.,22
social,s299,Americans still build homes in flood zones despite the awareness of climate change.,23
social,s300,"studies finds that obesity affects ones health .so ,it is advised to stay fit.",54
self,s301,It is important for us to recycle in order to protect the environment.,67
social,s303,there will been a small explosion of global warming ads,95
self,s305,Solar power is still a small portion of total electricity,93
social,s307,exercise and good diet go hand in hand,6
self,s308,It helps me to live in a safe world.,51
self,s311,This article is about what happens to nutrients in tomatoes and spinach when these foods are cooked.,42
self,s313,"Some large companies say that ""climate change"" could harm their future bottom lines.",87
self,s314,"This article goes in-depth to describe catastrophic floods, the potential link between climate change and flood frequency, and how to protect oneself in the event of a flood.",25
social,s316,A recent study has found that a probiotic may help fight obesity in people with metabolic issues.,74
self,s318,Pollution=Bad. We all need air.,107
self,s319,This article is very helpful,74
self,s320,Recycling is very useful for lot of peoples,49
self,s321,Because I am an activists,83
social,s322,This article is about how weight and cancer rates relate to each other.,54
self,s324,The great garbage patch of the Pacific is growing.,79
social,s326,I always prefer to read the daily news and tips. This article is between climate scientists and climate negotiators meeting then reduce holiday food waste totally this topic is somewhat irrelevant.,11
social,s327,climate control target not achieved so far,41
social,s328,This article is about how both plastic and paper bags are not great for the environment.,57
social,s329,This article matters to people I know because eve,0
